clip_id,video_path,primary_tag,notes,selected
10360251,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/10360251-hd_1440_1920_30fps.mp4,small_object,"prompt=car | wide street scene; parked cars are relatively small/thin in frame; good small-object baseline",1
11073730,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/11073730-uhd_2560_1440_30fps.mp4,small_object,"prompt=car | elevated city view; multiple cars are small relative to the full frame",1
11998127,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/11998127_1080_1920_30fps.mp4,crowded,"prompt=person | dense downtown pedestrian scene with many similar distractors",1
12699538,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/12699538-uhd_2160_3840_60fps.mp4,crowded,"prompt=person | narrow busy street packed with pedestrians; overlapping people make tracking harder",1
853810,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/853810-hd_1920_1080_25fps.mp4,easy,"prompt=dog | low-angle park scene; dog is the clearest target; simple easy-case clip with low ambiguity",1
16436839,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/16436839-hd_1920_1080_24fps.mp4,easy,"prompt=bicycle | bicycle/wheel dominates the frame; simple easy-case clip",1
4083596,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/4083596-hd_1080_1920_30fps.mp4,crowded,"prompt=person | street crowd with many visually similar people",1
4992551,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/4992551-uhd_3840_2160_30fps.mp4,occlusion,"prompt=person | low-angle crosswalk scene; pedestrians are partially hidden/cut off by framing",1
4992557,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/4992557-uhd_3840_2160_30fps.mp4,occlusion,"prompt=person | foreground walkers with street clutter and partial overlap; mild occlusion/distraction",1
5021552,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/5021552-hd_1920_1080_30fps.mp4,crowded,"prompt=person | shopping street with many pedestrians across the scene",1
5021553,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/5021553-hd_1920_1080_30fps.mp4,occlusion,"prompt=person | tram-stop scene; people and bikes cross paths and partially block each other",1
5220726,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/5220726-uhd_3840_2160_30fps.mp4,occlusion,"prompt=bicycle | foreground cyclists partly block each other; good occlusion stress case",1
5630823,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/5630823-hd_1280_720_60fps.mp4,small_object,"prompt=dog | small dog occupies a small portion of frame; moving ball adds distraction",1
5730870,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/5730870-uhd_3840_2160_24fps.mp4,easy,"prompt=dog | single dog-walking scene with clear target and low ambiguity",1
6326811,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/6326811-hd_1080_1920_25fps.mp4,easy,"prompt=backpack | single person with backpack in portrait framing; clean easy target",1
6413967,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/6413967-uhd_2560_1440_30fps.mp4,small_object,"prompt=dog | wide outdoor scene; dog is small relative to the frame",1
6664239,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/6664239-hd_2048_968_30fps.mp4,crowded,"prompt=person | very dense night crowd with heavy distractors and motion",1
7825225,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/7825225-uhd_2160_3840_30fps.mp4,easy,"prompt=backpack | close rear view of a person with backpack; easiest backpack clip",1
9910242,/content/drive/MyDrive/cv-final-project/inputs/subset_candidates/9910242-uhd_3840_2160_30fps.mp4,occlusion,"prompt=person | night square scene with multiple pedestrians and intermittent overlap",1
